scrutin,Gauche démocrate et républicaine - NUPES,La France insoumise - Nouvelle Union Populaire écologique et sociale,Socialistes et apparentés (membre de l’intergroupe NUPES),Écologiste - NUPES,alignement
VTANR5L16V345,pour,abstention,contre,contre,False
VTANR5L16V346,pour,abstention,pour,pour,False
VTANR5L16V347,,contre,contre,contre,False
VTANR5L16V349,contre,contre,pour,pour,False
VTANR5L16V352,contre,,abstention,abstention,False
VTANR5L16V356,,,,contre,False
VTANR5L16V359,,pour,,,False
VTANR5L16V36,contre,abstention,abstention,pour,False
VTANR5L16V366,,pour,pour,pour,False
VTANR5L16V385,,pour,pour,pour,False
VTANR5L16V397,,abstention,,,False
VTANR5L16V398,,pour,,pour,False
VTANR5L16V399,pour,pour,contre,pour,False
VTANR5L16V4,contre,contre,pour,contre,False
VTANR5L16V400,,contre,contre,contre,False
VTANR5L16V403,contre,contre,contre,,False
VTANR5L16V405,contre,contre,,contre,False
VTANR5L16V406,contre,contre,,contre,False
VTANR5L16V410,pour,pour,abstention,pour,False
VTANR5L16V411,abstention,abstention,contre,contre,False
VTANR5L16V412,contre,abstention,contre,,False
VTANR5L16V413,,pour,pour,pour,False
VTANR5L16V414,,pour,pour,pour,False
VTANR5L16V415,,contre,abstention,abstention,False
VTANR5L16V416,,contre,contre,contre,False
VTANR5L16V417,,contre,,contre,False
VTANR5L16V420,,contre,,contre,False
VTANR5L16V421,,abstention,abstention,abstention,False
VTANR5L16V422,,pour,pour,abstention,False
VTANR5L16V431,contre,contre,contre,abstention,False
VTANR5L16V436,pour,abstention,,pour,False
VTANR5L16V437,pour,abstention,pour,pour,False
VTANR5L16V438,pour,contre,pour,pour,False
VTANR5L16V439,pour,abstention,abstention,abstention,False
VTANR5L16V441,pour,abstention,pour,pour,False
VTANR5L16V444,pour,pour,,pour,False
VTANR5L16V445,pour,contre,abstention,abstention,False
VTANR5L16V446,pour,pour,abstention,pour,False
VTANR5L16V447,pour,abstention,pour,pour,False
VTANR5L16V449,pour,abstention,,abstention,False
VTANR5L16V452,abstention,abstention,abstention,contre,False
VTANR5L16V455,abstention,abstention,abstention,,False
VTANR5L16V463,abstention,pour,contre,abstention,False
VTANR5L16V464,abstention,contre,abstention,,False
VTANR5L16V47,pour,pour,abstention,pour,False
VTANR5L16V472,pour,abstention,abstention,contre,False
VTANR5L16V474,abstention,abstention,,,False
VTANR5L16V48,pour,pour,abstention,abstention,False
VTANR5L16V487,,abstention,abstention,contre,False
VTANR5L16V488,,contre,contre,contre,False
VTANR5L16V489,,contre,contre,contre,False
VTANR5L16V49,,pour,abstention,pour,False
VTANR5L16V491,pour,pour,pour,abstention,False
VTANR5L16V494,pour,pour,,pour,False
VTANR5L16V495,,pour,pour,pour,False
VTANR5L16V496,pour,pour,pour,abstention,False
VTANR5L16V499,,pour,pour,pour,False
VTANR5L16V5,pour,pour,contre,pour,False
VTANR5L16V50,,pour,abstention,pour,False
VTANR5L16V500,,abstention,,,False
VTANR5L16V501,,abstention,pour,,False
VTANR5L16V504,,abstention,,contre,False
VTANR5L16V505,,abstention,contre,contre,False
VTANR5L16V506,,,abstention,abstention,False
VTANR5L16V507,pour,abstention,abstention,pour,False
VTANR5L16V508,pour,contre,abstention,pour,False
VTANR5L16V509,contre,abstention,contre,contre,False
VTANR5L16V510,,abstention,contre,contre,False
VTANR5L16V511,,abstention,contre,abstention,False
VTANR5L16V512,,abstention,contre,contre,False
VTANR5L16V513,contre,abstention,contre,contre,False
VTANR5L16V514,contre,abstention,contre,contre,False
VTANR5L16V515,pour,abstention,abstention,pour,False
VTANR5L16V520,,abstention,abstention,pour,False
VTANR5L16V522,,pour,,pour,False
VTANR5L16V525,pour,pour,abstention,pour,False
VTANR5L16V526,pour,pour,abstention,pour,False
VTANR5L16V530,abstention,contre,pour,pour,False
VTANR5L16V532,pour,pour,abstention,abstention,False
VTANR5L16V537,,contre,,,False
VTANR5L16V539,,contre,,,False
