uid,objet,type,date,seance,sort,identiques,amendement,sous_amendement,cr,url_scrutin,url_seance
VTANR5L16V2486,l'amendement n° 1600 de M. Gillet après l'article 9 bis A du projet de loi relatif à l'industrie verte (première lecture).,scrutin public ordinaire,2023-07-21,RUANR5L16S2023IDS27539,rejeté,False,True,False,CRSANR5L16S2023E1N028,https://www2.assemblee-nationale.fr/scrutins/detail/(legislature)/16/(num)/2486,https://www.assemblee-nationale.fr/dyn/16/comptes-rendus/seance/CRSANR5L16S2023E1N028
VTANR5L16V1508,l'amendement n° 153 de M. Rancoule à l'article premier de la proposition de loi visant à renforcer la prévention et la lutte contre l'intensification et l'extension du risque incendie (première lecture).,scrutin public ordinaire,2023-05-15,RUANR5L16S2023IDS27057,rejeté,False,True,False,CRSANR5L16S2023O1N232,https://www2.assemblee-nationale.fr/scrutins/detail/(legislature)/16/(num)/1508,https://www.assemblee-nationale.fr/dyn/16/comptes-rendus/seance/CRSANR5L16S2023O1N232
VTANR5L16V3496,l'amendement n° 150 de M. Villedieu à l'article 2 de la proposition de loi visant à réduire l'impact environnemental de l'industrie textile (première lecture).,scrutin public ordinaire,2024-03-14,RUANR5L16S2024IDS28144,rejeté,False,True,False,CRSANR5L16S2024O1N149,https://www2.assemblee-nationale.fr/scrutins/detail/(legislature)/16/(num)/3496,https://www.assemblee-nationale.fr/dyn/16/comptes-rendus/seance/CRSANR5L16S2024O1N149
VTANR5L16V696,le sous-amendement n° 3088 de Mme Mathilde Paris à l'amendement n° 2200 de M. Alfandari à l'article 3 (examen prioritaire) du projet de loi relatif à l'accélération de la production d'énergies renouvelables (première lecture).,scrutin public ordinaire,2022-12-08,RUANR5L16S2023IDS26604,rejeté,False,True,True,CRSANR5L16S2023O1N090,https://www2.assemblee-nationale.fr/scrutins/detail/(legislature)/16/(num)/696,https://www.assemblee-nationale.fr/dyn/16/comptes-rendus/seance/CRSANR5L16S2023O1N090
VTANR5L16V1498,l'amendement n° 70 de Mme Parmentier après l'article unique de la proposition de loi visant à rendre obligatoire le pavoisement des drapeaux français et européen sur le fronton des mairies (première lecture).,scrutin public ordinaire,2023-05-10,RUANR5L16S2023IDS27040,rejeté,False,True,False,CRSANR5L16S2023O1N230,https://www2.assemblee-nationale.fr/scrutins/detail/(legislature)/16/(num)/1498,https://www.assemblee-nationale.fr/dyn/16/comptes-rendus/seance/CRSANR5L16S2023O1N230
VTANR5L16V825,l'amendement n° 26 de M. Bentz après l'article premier de la proposition de loi visant à favoriser et inciter les entreprises à augmenter les salaires nets de 10% (première lecture).,scrutin public ordinaire,2023-01-12,RUANR5L16S2023IDS26684,rejeté,False,True,False,CRSANR5L16S2023O1N113,https://www2.assemblee-nationale.fr/scrutins/detail/(legislature)/16/(num)/825,https://www.assemblee-nationale.fr/dyn/16/comptes-rendus/seance/CRSANR5L16S2023O1N113
VTANR5L16V2202,l'amendement n° 1165 de M. Ballard à l'article 14 du projet de loi d'orientation et de programmation du ministère de la justice 2023-2027 (première lecture).,scrutin public ordinaire,2023-07-10,RUANR5L16S2023IDS27446,rejeté,False,True,False,CRSANR5L16S2023E1N010,https://www2.assemblee-nationale.fr/scrutins/detail/(legislature)/16/(num)/2202,https://www.assemblee-nationale.fr/dyn/16/comptes-rendus/seance/CRSANR5L16S2023E1N010
VTANR5L16V1902,l'amendement n° 22 de M. Gillet à l'article 2 du projet de loi visant à donner à la douane les moyens de faire face aux nouvelles menaces (première lecture).,scrutin public ordinaire,2023-06-19,RUANR5L16S2023IDS27297,rejeté,False,True,False,CRSANR5L16S2023O1N276,https://www2.assemblee-nationale.fr/scrutins/detail/(legislature)/16/(num)/1902,https://www.assemblee-nationale.fr/dyn/16/comptes-rendus/seance/CRSANR5L16S2023O1N276
VTANR5L16V3122,l'amendement n° 9 de M. Guitton à l'article premier de la proposition de loi relative au contentieux du stationnement payant (première lecture).,scrutin public ordinaire,2023-12-04,RUANR5L16S2024IDS27897,rejeté,False,True,False,CRSANR5L16S2024O1N073,https://www2.assemblee-nationale.fr/scrutins/detail/(legislature)/16/(num)/3122,https://www.assemblee-nationale.fr/dyn/16/comptes-rendus/seance/CRSANR5L16S2024O1N073
VTANR5L16V1324,l'amendement n° 8 de M. Tivoli à l'article 1er A de la proposition de loi visant à protéger les logements contre l'occupation illicite (deuxième lecture).,scrutin public ordinaire,2023-03-29,RUANR5L16S2023IDS26942,rejeté,False,True,False,CRSANR5L16S2023O1N196,https://www2.assemblee-nationale.fr/scrutins/detail/(legislature)/16/(num)/1324,https://www.assemblee-nationale.fr/dyn/16/comptes-rendus/seance/CRSANR5L16S2023O1N196
VTANR5L16V3230,l'amendement n° 4 de M. Falcon à l'article 3 du projet de loi relatif à l'accélération et à la simplification de la rénovation de l'habitat dégradé et des grandes opérations d'aménagement (première lecture).,scrutin public ordinaire,2024-01-22,RUANR5L16S2024IDS28008,rejeté,False,True,False,CRSANR5L16S2024O1N100,https://www2.assemblee-nationale.fr/scrutins/detail/(legislature)/16/(num)/3230,https://www.assemblee-nationale.fr/dyn/16/comptes-rendus/seance/CRSANR5L16S2024O1N100
VTANR5L16V2459,l'amendement n° 349 de Mme Ranc après l'article 5 du projet de loi relatif à l'industrie verte (première lecture).,scrutin public ordinaire,2023-07-20,RUANR5L16S2023IDS27506,rejeté,False,True,False,CRSANR5L16S2023E1N026,https://www2.assemblee-nationale.fr/scrutins/detail/(legislature)/16/(num)/2459,https://www.assemblee-nationale.fr/dyn/16/comptes-rendus/seance/CRSANR5L16S2023E1N026
VTANR5L16V3228,l'amendement de suppression n° 38 de M. Falcon à l'article 3 du projet de loi relatif à l'accélération et à la simplification de la rénovation de l'habitat dégradé et des grandes opérations d'aménagement (première lecture).,scrutin public ordinaire,2024-01-22,RUANR5L16S2024IDS28007,rejeté,False,True,False,CRSANR5L16S2024O1N099,https://www2.assemblee-nationale.fr/scrutins/detail/(legislature)/16/(num)/3228,https://www.assemblee-nationale.fr/dyn/16/comptes-rendus/seance/CRSANR5L16S2024O1N099
VTANR5L16V1900,l'amendement n° 52 de M. Sabatou à l'article 2 du projet de loi visant à donner à la douane les moyens de faire face aux nouvelles menaces (première lecture).,scrutin public ordinaire,2023-06-19,RUANR5L16S2023IDS27297,rejeté,False,True,False,CRSANR5L16S2023O1N276,https://www2.assemblee-nationale.fr/scrutins/detail/(legislature)/16/(num)/1900,https://www.assemblee-nationale.fr/dyn/16/comptes-rendus/seance/CRSANR5L16S2023O1N276
VTANR5L16V631,l'amendement n° 42 rectifié de M. Hébrard à l'article premier de la proposition de loi portant réintégration du personnel des établissements de santé et de secours non-vacciné grâce à un protocole sanitaire renforcé (première lecture).,scrutin public ordinaire,2022-11-24,RUANR5L16S2023IDS26545,rejeté,False,True,False,CRSANR5L16S2023O1N069,https://www2.assemblee-nationale.fr/scrutins/detail/(legislature)/16/(num)/631,https://www.assemblee-nationale.fr/dyn/16/comptes-rendus/seance/CRSANR5L16S2023O1N069
VTANR5L16V29,l'amendement n° 332 de Mme Paris à l'article premier du projet de loi portant mesures d'urgence pour la protection du pouvoir d'achat (première lecture).,scrutin public ordinaire,2022-07-19,RUANR5L16S2022IDS26206,rejeté,False,True,False,CRSANR5L16S2022E1N009,https://www2.assemblee-nationale.fr/scrutins/detail/(legislature)/16/(num)/29,https://www.assemblee-nationale.fr/dyn/16/comptes-rendus/seance/CRSANR5L16S2022E1N009
VTANR5L16V2678,l'amendement n° 56 de Mme Loir à l'article 3 du projet de loi visant à sécuriser et réguler l'espace numérique (première lecture).,scrutin public ordinaire,2023-10-05,RUANR5L16S2024IDS27616,rejeté,False,True,False,CRSANR5L16S2024O1N008,https://www2.assemblee-nationale.fr/scrutins/detail/(legislature)/16/(num)/2678,https://www.assemblee-nationale.fr/dyn/16/comptes-rendus/seance/CRSANR5L16S2024O1N008
VTANR5L16V1630,l'amendement n° 252 de M. François à l'article 2 et rapport annexé du projet de loi relatif à la programmation militaire pour les années 2024 à 2030 et portant diverses dispositions intéressant la défense (première lecture).,scrutin public ordinaire,2023-05-25,RUANR5L16S2023IDS27074,rejeté,False,True,False,CRSANR5L16S2023O1N245,https://www2.assemblee-nationale.fr/scrutins/detail/(legislature)/16/(num)/1630,https://www.assemblee-nationale.fr/dyn/16/comptes-rendus/seance/CRSANR5L16S2023O1N245
VTANR5L16V1265,l'amendement n° 563 de Mme Colombier à l'article 7 du projet de loi relatif aux jeux Olympiques et Paralympiques de 2024 et portant diverses autres dispositions (première lecture).,scrutin public ordinaire,2023-03-22,RUANR5L16S2023IDS26889,rejeté,False,True,False,CRSANR5L16S2023O1N187,https://www2.assemblee-nationale.fr/scrutins/detail/(legislature)/16/(num)/1265,https://www.assemblee-nationale.fr/dyn/16/comptes-rendus/seance/CRSANR5L16S2023O1N187
VTANR5L16V1624,l'amendement n° 1471 de M. Gonzalez à l'article 2 et rapport annexé du projet de loi relatif à la programmation militaire pour les années 2024 à 2030 et portant diverses dispositions intéressant la défense (première lecture).,scrutin public ordinaire,2023-05-24,RUANR5L16S2023IDS27073,rejeté,False,True,False,CRSANR5L16S2023O1N244,https://www2.assemblee-nationale.fr/scrutins/detail/(legislature)/16/(num)/1624,https://www.assemblee-nationale.fr/dyn/16/comptes-rendus/seance/CRSANR5L16S2023O1N244
VTANR5L16V2416,l'amendement n° 20 de M. de Fournas à l'article premier du projet de loi relatif à l'accélération de la reconstruction et de la réfection des bâtiments dégradés ou détruits au cours des violences urbaines survenues du 27 juin au 5 juillet 2023 (première lecture).,scrutin public ordinaire,2023-07-20,RUANR5L16S2023IDS27504,rejeté,False,True,False,CRSANR5L16S2023E1N024,https://www2.assemblee-nationale.fr/scrutins/detail/(legislature)/16/(num)/2416,https://www.assemblee-nationale.fr/dyn/16/comptes-rendus/seance/CRSANR5L16S2023E1N024
