scrutin,Gauche démocrate et républicaine - NUPES,La France insoumise - Nouvelle Union Populaire écologique et sociale,Socialistes et apparentés (membre de l’intergroupe NUPES),Écologiste - NUPES,alignement
VTANR5L16V14,pour,pour,pour,pour,True
VTANR5L16V140,pour,pour,pour,pour,True
VTANR5L16V1400,pour,pour,pour,pour,True
VTANR5L16V1401,contre,pour,contre,contre,False
VTANR5L16V1402,pour,pour,pour,pour,True
VTANR5L16V1403,,contre,contre,contre,False
VTANR5L16V1404,,pour,pour,pour,False
VTANR5L16V1405,,pour,pour,pour,False
VTANR5L16V1406,,pour,pour,pour,False
VTANR5L16V1407,,pour,pour,pour,False
VTANR5L16V1408,contre,pour,contre,pour,False
VTANR5L16V1409,abstention,contre,abstention,contre,False
VTANR5L16V141,pour,pour,pour,pour,True
VTANR5L16V1410,pour,abstention,abstention,abstention,False
VTANR5L16V1411,pour,pour,pour,pour,True
VTANR5L16V1412,pour,abstention,pour,pour,False
VTANR5L16V1413,pour,pour,pour,pour,True
VTANR5L16V1414,pour,pour,pour,pour,True
VTANR5L16V1415,,abstention,pour,,False
VTANR5L16V1416,abstention,,contre,contre,False
VTANR5L16V1417,pour,pour,pour,pour,True
VTANR5L16V1418,contre,contre,contre,contre,True
VTANR5L16V1419,pour,pour,pour,pour,True
VTANR5L16V142,pour,pour,pour,pour,True
VTANR5L16V1420,contre,contre,abstention,contre,False
VTANR5L16V1421,abstention,abstention,pour,pour,False
VTANR5L16V1422,pour,pour,pour,,False
VTANR5L16V1423,contre,contre,pour,,False
VTANR5L16V1424,pour,pour,pour,pour,True
VTANR5L16V1425,abstention,abstention,pour,pour,False
VTANR5L16V1426,,pour,pour,pour,False
VTANR5L16V1427,pour,pour,pour,pour,True
VTANR5L16V1428,pour,pour,pour,pour,True
VTANR5L16V143,pour,pour,pour,pour,True
VTANR5L16V1430,,,contre,,False
VTANR5L16V1431,pour,pour,pour,pour,True
VTANR5L16V1432,pour,pour,pour,pour,True
VTANR5L16V1433,,pour,pour,pour,False
VTANR5L16V1434,abstention,pour,pour,pour,False
VTANR5L16V1436,pour,pour,pour,pour,True
VTANR5L16V1438,,pour,,,False
VTANR5L16V1439,pour,pour,pour,pour,True
VTANR5L16V144,pour,pour,pour,pour,True
VTANR5L16V1440,,pour,pour,pour,False
VTANR5L16V1441,pour,pour,pour,pour,True
VTANR5L16V1442,,pour,pour,pour,False
VTANR5L16V1443,,pour,pour,pour,False
VTANR5L16V1444,,pour,pour,pour,False
VTANR5L16V1445,,contre,abstention,abstention,False
VTANR5L16V1446,,pour,pour,,False
VTANR5L16V1447,,pour,pour,pour,False
VTANR5L16V1448,,abstention,abstention,pour,False
VTANR5L16V1449,,pour,pour,pour,False
VTANR5L16V145,pour,pour,pour,pour,True
VTANR5L16V1450,,pour,pour,,False
VTANR5L16V1451,,contre,pour,abstention,False
VTANR5L16V1452,,pour,pour,pour,False
VTANR5L16V1453,,abstention,abstention,abstention,False
VTANR5L16V1454,,abstention,abstention,pour,False
VTANR5L16V1455,,pour,pour,pour,False
VTANR5L16V1456,pour,pour,contre,pour,False
VTANR5L16V1457,contre,contre,contre,contre,True
VTANR5L16V1458,contre,contre,contre,contre,True
VTANR5L16V1459,pour,pour,pour,pour,True
VTANR5L16V146,pour,pour,pour,pour,True
VTANR5L16V1460,pour,pour,pour,pour,True
VTANR5L16V1461,pour,pour,pour,pour,True
VTANR5L16V1462,pour,pour,pour,pour,True
VTANR5L16V1463,contre,abstention,contre,contre,False
VTANR5L16V1464,contre,contre,contre,contre,True
VTANR5L16V1465,contre,contre,contre,contre,True
VTANR5L16V1466,contre,contre,contre,contre,True
VTANR5L16V1467,contre,contre,contre,contre,True
VTANR5L16V1468,pour,pour,pour,pour,True
VTANR5L16V1469,contre,contre,contre,contre,True
VTANR5L16V147,pour,pour,pour,pour,True
VTANR5L16V1470,contre,contre,contre,abstention,False
VTANR5L16V1471,pour,pour,pour,pour,True
VTANR5L16V1472,pour,pour,pour,pour,True
VTANR5L16V1473,contre,contre,contre,contre,True
VTANR5L16V1474,pour,pour,pour,pour,True
VTANR5L16V1475,pour,pour,pour,pour,True
VTANR5L16V1476,contre,contre,contre,contre,True
VTANR5L16V1477,contre,contre,contre,contre,True
VTANR5L16V1478,contre,contre,contre,contre,True
VTANR5L16V1479,contre,contre,contre,contre,True
VTANR5L16V148,pour,pour,pour,pour,True
VTANR5L16V1480,contre,contre,contre,contre,True
VTANR5L16V1481,pour,pour,pour,pour,True
VTANR5L16V1482,pour,pour,pour,pour,True
VTANR5L16V1483,pour,pour,pour,pour,True
VTANR5L16V1484,pour,pour,abstention,contre,False
VTANR5L16V1485,pour,pour,pour,contre,False
VTANR5L16V1486,pour,pour,pour,contre,False
VTANR5L16V1487,pour,contre,pour,contre,False
VTANR5L16V1488,abstention,pour,pour,pour,False
VTANR5L16V1489,,pour,contre,pour,False
VTANR5L16V149,pour,pour,pour,pour,True
VTANR5L16V1490,,pour,contre,pour,False
VTANR5L16V1491,,pour,contre,pour,False
VTANR5L16V1492,contre,contre,pour,contre,False
VTANR5L16V1493,pour,pour,pour,,False
VTANR5L16V1494,contre,pour,pour,abstention,False
VTANR5L16V1495,contre,contre,pour,pour,False
VTANR5L16V1496,pour,pour,pour,pour,True
VTANR5L16V1497,,pour,pour,pour,False
VTANR5L16V1498,,contre,contre,contre,False
VTANR5L16V1499,,abstention,pour,abstention,False
VTANR5L16V15,contre,contre,abstention,contre,False
VTANR5L16V150,abstention,pour,abstention,pour,False
VTANR5L16V1500,,pour,pour,pour,False
VTANR5L16V1501,,contre,pour,abstention,False
VTANR5L16V1502,,contre,,pour,False
VTANR5L16V1503,pour,contre,,pour,False
VTANR5L16V1504,abstention,contre,contre,contre,False
VTANR5L16V151,contre,contre,contre,contre,True
VTANR5L16V152,pour,pour,pour,pour,True
VTANR5L16V153,pour,pour,pour,pour,True
