acteurRef,mandatRef,parDelegation,position,organe,date,scrutin,groupe_majorite,nom,prenom,civ,libelleAbrev
PA342240,PM796707,False,pour,PO800508,2023-03-07,VTANR5L16V1135,pour,Bourgeaux,Jean-Luc,M.,LR
PA721486,PM797517,False,pour,PO800532,2023-03-07,VTANR5L16V1135,pour,Naegelen,Christophe,M.,LIOT
PA795244,PM797379,False,pour,PO800532,2023-03-07,VTANR5L16V1135,pour,Lenormand,Stéphane,M.,LIOT
PA793476,PM796344,False,pour,PO800508,2023-04-13,VTANR5L16V1429,pour,Dubois,Francis,M.,LR
PA793508,PM796371,False,pour,PO800508,2023-04-13,VTANR5L16V1429,pour,Brigand,Hubert,M.,LR
PA719608,PM796593,False,pour,PO793087,2023-04-13,VTANR5L16V1429,pour,Ménard,Emmanuelle,Mme,NI
PA722284,PM797238,False,pour,PO800484,2024-04-04,VTANR5L16V3639,contre,Fuchs,Bruno,M.,DEM
PA719608,PM796593,False,pour,PO793087,2024-04-04,VTANR5L16V3639,contre,Ménard,Emmanuelle,Mme,NI
PA267901,PM797841,False,pour,PO800508,2023-07-20,VTANR5L16V2436,pour,Kamardine,Mansour,M.,LR
PA718850,PM796203,False,pour,PO800508,2023-07-20,VTANR5L16V2436,pour,Cordier,Pierre,M.,LR
PA720684,PM797082,False,pour,PO800508,2023-07-20,VTANR5L16V2436,pour,Dumont,Pierre-Henri,M.,LR
PA783457,PM796992,False,pour,PO800508,2023-07-20,VTANR5L16V2436,pour,Habert-Dassault,Victor,M.,LR
PA719608,PM796593,False,pour,PO793087,2023-03-23,VTANR5L16V1279,pour,Ménard,Emmanuelle,Mme,NI
PA721486,PM797517,False,pour,PO800532,2023-07-12,VTANR5L16V2279,pour,Naegelen,Christophe,M.,LIOT
PA720586,PM797088,False,pour,PO800508,2022-07-26,VTANR5L16V175,contre,Vatin,Pierre,M.,LR
PA267429,PM796722,False,pour,PO800508,2022-07-26,VTANR5L16V175,contre,Cinieri,Dino,M.,LR
PA718850,PM796203,False,pour,PO800508,2022-07-26,VTANR5L16V175,contre,Cordier,Pierre,M.,LR
PA266797,PM796812,False,pour,PO800508,2022-07-26,VTANR5L16V175,contre,Gosselin,Philippe,M.,LR
PA607090,PM796761,False,pour,PO800508,2022-07-26,VTANR5L16V175,contre,Vigier,Jean-Pierre,M.,LR
PA719272,PM796347,False,pour,PO800508,2022-07-26,VTANR5L16V175,contre,Meunier,Frédérique,Mme,LR
PA720630,PM797094,False,pour,PO800508,2022-07-26,VTANR5L16V175,contre,Minot,Maxime,M.,LR
PA722390,PM797214,False,pour,PO800508,2022-07-26,VTANR5L16V175,contre,Corneloup,Josiane,Mme,LR
PA722308,PM797229,False,pour,PO800508,2022-07-26,VTANR5L16V175,contre,Serre,Nathalie,Mme,LR
PA783457,PM796992,False,pour,PO800508,2022-07-26,VTANR5L16V175,contre,Habert-Dassault,Victor,M.,LR
PA719608,PM796593,False,pour,PO793087,2022-07-26,VTANR5L16V175,pour,Ménard,Emmanuelle,Mme,NI
PA719608,PM796593,False,pour,PO793087,2024-01-29,VTANR5L16V3258,pour,Ménard,Emmanuelle,Mme,NI
PA267429,PM796722,False,pour,PO800508,2023-05-16,VTANR5L16V1541,pour,Cinieri,Dino,M.,LR
PA332523,PM796683,False,pour,PO800508,2023-05-16,VTANR5L16V1541,pour,Dalloz,Marie-Christine,Mme,LR
PA607090,PM796761,False,pour,PO800508,2023-05-16,VTANR5L16V1541,pour,Vigier,Jean-Pierre,M.,LR
PA718884,PM796218,False,pour,PO800508,2023-05-16,VTANR5L16V1541,pour,Bazin-Malgras,Valérie,Mme,LR
PA719318,PM796470,False,pour,PO800508,2023-05-16,VTANR5L16V1541,pour,Anthoine,Emmanuelle,Mme,LR
PA643134,PM796758,False,pour,PO800508,2023-05-16,VTANR5L16V1541,pour,Valentin,Isabelle,Mme,LR
PA722390,PM797214,False,pour,PO800508,2023-05-16,VTANR5L16V1541,pour,Corneloup,Josiane,Mme,LR
PA793094,PM796140,False,pour,PO800508,2023-05-16,VTANR5L16V1541,pour,Ray,Nicolas,M.,LR
PA793508,PM796371,False,pour,PO800508,2023-05-16,VTANR5L16V1541,pour,Brigand,Hubert,M.,LR
PA794038,PM796668,False,pour,PO800508,2023-05-16,VTANR5L16V1541,pour,Neuder,Yannick,M.,LR
PA721486,PM797517,False,pour,PO800532,2023-05-16,VTANR5L16V1541,pour,Naegelen,Christophe,M.,LIOT
PA719608,PM796593,False,pour,PO793087,2023-05-16,VTANR5L16V1541,pour,Ménard,Emmanuelle,Mme,NI
PA267324,PM797538,False,pour,PO800508,2022-12-07,VTANR5L16V684,pour,Gaultier,Jean-Jacques,M.,LR
PA346054,PM797679,False,pour,PO800508,2022-12-07,VTANR5L16V684,pour,Maquet,Emmanuel,M.,LR
PA605069,PM796179,False,pour,PO800532,2022-12-07,VTANR5L16V684,pour,Bricout,Jean-Louis,M.,LIOT
PA720976,PM797667,False,pour,PO800532,2022-12-07,VTANR5L16V684,pour,Mathiasin,Max,M.,LIOT
PA719608,PM796593,False,pour,PO793087,2022-12-07,VTANR5L16V684,pour,Ménard,Emmanuelle,Mme,NI
PA720862,PM797412,False,pour,PO800538,2023-07-18,VTANR5L16V2380,contre,Descrozaille,Frédéric,M.,RE
PA643134,PM796758,False,pour,PO800508,2023-07-18,VTANR5L16V2380,contre,Valentin,Isabelle,Mme,LR
PA607553,PM796875,False,pour,PO800496,2023-07-18,VTANR5L16V2380,pour,Potier,Dominique,M.,SOC
PA719608,PM796593,False,pour,PO793087,2023-07-18,VTANR5L16V2380,pour,Ménard,Emmanuelle,Mme,NI
PA794114,PM796719,False,pour,PO800484,2023-07-19,VTANR5L16V2393,contre,Mandon,Emmanuel,M.,DEM
PA267429,PM796722,False,pour,PO800508,2023-07-10,VTANR5L16V2198,pour,Cinieri,Dino,M.,LR
PA721816,PM797571,False,pour,PO800508,2023-07-10,VTANR5L16V2198,pour,Boucard,Ian,M.,LR
PA793342,PM796269,False,pour,PO800508,2023-07-10,VTANR5L16V2198,pour,Martin (Alpes-Maritimes),Alexandra,Mme,LR
PA795636,PM797601,False,pour,PO800526,2022-10-28,VTANR5L16V440,contre,Lucas-Lundy,Benjamin,M.,ECOLO
PA794410,PM796911,False,pour,PO800508,2022-11-29,VTANR5L16V643,abstention,Seitlinger,Vincent,M.,LR
PA309643,PM797403,False,pour,PO793087,2022-11-29,VTANR5L16V643,pour,Besse,Véronique,Mme,NI
PA719608,PM796593,False,pour,PO793087,2022-11-29,VTANR5L16V643,pour,Ménard,Emmanuelle,Mme,NI
