,Démocrate (MoDem et Indépendants),Gauche démocrate et républicaine - NUPES,Horizons et apparentés,La France insoumise - Nouvelle Union Populaire écologique et sociale,Les Républicains,"Libertés, Indépendants, Outre-mer et Territoires",Non inscrit,Rassemblement National,Renaissance,Socialistes et apparentés (membre de l’intergroupe NUPES),Écologiste - NUPES
VTANR5L16V27,gagné,perdu,gagné,perdu,gagné,gagné,perdu,gagné,gagné,perdu,perdu
VTANR5L16V270,perdu,gagné,perdu,gagné,perdu,gagné,gagné,gagné,perdu,gagné,gagné
VTANR5L16V271,perdu,gagné,gagné,gagné,perdu,gagné,gagné,gagné,perdu,gagné,gagné
VTANR5L16V272,gagné,perdu,gagné,pas joué,perdu,pas joué,perdu,perdu,gagné,gagné,perdu
VTANR5L16V273,gagné,perdu,gagné,perdu,gagné,gagné,gagné,gagné,gagné,perdu,perdu
VTANR5L16V274,gagné,gagné,perdu,gagné,gagné,gagné,gagné,gagné,perdu,gagné,gagné
VTANR5L16V275,gagné,pas joué,gagné,pas joué,pas joué,pas joué,perdu,perdu,gagné,pas joué,gagné
VTANR5L16V276,gagné,pas joué,gagné,perdu,perdu,gagné,perdu,perdu,gagné,gagné,pas joué
VTANR5L16V277,gagné,gagné,gagné,gagné,gagné,gagné,gagné,gagné,gagné,gagné,gagné
VTANR5L16V278,gagné,gagné,gagné,gagné,gagné,gagné,gagné,gagné,gagné,gagné,gagné
VTANR5L16V279,gagné,perdu,gagné,perdu,pas joué,perdu,perdu,perdu,gagné,perdu,perdu
VTANR5L16V28,gagné,perdu,gagné,perdu,gagné,gagné,perdu,gagné,gagné,perdu,perdu
VTANR5L16V280,gagné,pas joué,gagné,pas joué,gagné,gagné,gagné,gagné,gagné,gagné,pas joué
VTANR5L16V281,gagné,pas joué,gagné,pas joué,gagné,perdu,pas joué,perdu,gagné,pas joué,pas joué
VTANR5L16V282,gagné,pas joué,gagné,pas joué,gagné,perdu,pas joué,perdu,gagné,pas joué,pas joué
VTANR5L16V283,gagné,perdu,gagné,perdu,gagné,perdu,gagné,pas joué,gagné,perdu,perdu
VTANR5L16V284,gagné,perdu,gagné,pas joué,perdu,perdu,perdu,perdu,gagné,pas joué,perdu
VTANR5L16V285,gagné,pas joué,gagné,pas joué,perdu,perdu,perdu,perdu,gagné,pas joué,pas joué
VTANR5L16V286,perdu,gagné,perdu,gagné,gagné,gagné,gagné,gagné,perdu,gagné,gagné
