,Démocrate (MoDem et Indépendants),Gauche démocrate et républicaine - NUPES,Horizons et apparentés,La France insoumise - Nouvelle Union Populaire écologique et sociale,Les Républicains,"Libertés, Indépendants, Outre-mer et Territoires",Non inscrit,Rassemblement National,Renaissance,Socialistes et apparentés (membre de l’intergroupe NUPES),Écologiste - NUPES
VTANR5L16V955,gagné,perdu,gagné,perdu,gagné,pas joué,perdu,pas joué,gagné,perdu,perdu
VTANR5L16V956,gagné,perdu,gagné,perdu,gagné,perdu,perdu,perdu,gagné,perdu,perdu
VTANR5L16V957,gagné,perdu,gagné,perdu,gagné,perdu,perdu,perdu,gagné,perdu,perdu
VTANR5L16V958,gagné,pas joué,gagné,pas joué,gagné,perdu,perdu,perdu,gagné,perdu,pas joué
VTANR5L16V959,gagné,pas joué,gagné,pas joué,pas joué,perdu,perdu,perdu,gagné,gagné,pas joué
VTANR5L16V96,gagné,perdu,gagné,perdu,gagné,pas joué,gagné,gagné,gagné,perdu,perdu
VTANR5L16V960,gagné,perdu,gagné,perdu,gagné,perdu,perdu,perdu,gagné,perdu,perdu
VTANR5L16V961,gagné,pas joué,gagné,gagné,perdu,gagné,perdu,perdu,gagné,gagné,gagné
VTANR5L16V962,gagné,gagné,gagné,gagné,gagné,gagné,gagné,pas joué,gagné,gagné,gagné
VTANR5L16V963,gagné,perdu,gagné,pas joué,gagné,perdu,perdu,perdu,gagné,perdu,gagné
VTANR5L16V964,gagné,perdu,gagné,perdu,gagné,perdu,perdu,pas joué,gagné,perdu,perdu
VTANR5L16V965,perdu,gagné,gagné,gagné,gagné,pas joué,perdu,pas joué,gagné,gagné,gagné
VTANR5L16V966,perdu,pas joué,perdu,gagné,gagné,gagné,gagné,gagné,perdu,gagné,pas joué
VTANR5L16V967,gagné,perdu,gagné,perdu,gagné,perdu,gagné,gagné,gagné,perdu,perdu
VTANR5L16V968,gagné,perdu,gagné,perdu,gagné,perdu,gagné,gagné,gagné,perdu,perdu
VTANR5L16V969,gagné,perdu,gagné,perdu,perdu,perdu,perdu,gagné,gagné,gagné,pas joué
VTANR5L16V97,gagné,perdu,gagné,perdu,gagné,pas joué,gagné,gagné,gagné,perdu,perdu
VTANR5L16V970,gagné,pas joué,gagné,pas joué,gagné,gagné,pas joué,pas joué,gagné,perdu,pas joué
VTANR5L16V971,gagné,perdu,gagné,perdu,perdu,perdu,perdu,gagné,gagné,perdu,perdu
VTANR5L16V972,perdu,gagné,perdu,gagné,gagné,gagné,gagné,gagné,perdu,gagné,gagné
VTANR5L16V973,gagné,perdu,gagné,perdu,gagné,perdu,gagné,pas joué,gagné,perdu,perdu
VTANR5L16V974,gagné,perdu,gagné,perdu,gagné,perdu,gagné,pas joué,gagné,perdu,perdu
VTANR5L16V975,gagné,gagné,gagné,gagné,pas joué,perdu,perdu,perdu,gagné,gagné,gagné
VTANR5L16V976,gagné,perdu,gagné,perdu,gagné,perdu,gagné,perdu,gagné,perdu,perdu
VTANR5L16V977,gagné,perdu,gagné,perdu,gagné,perdu,perdu,perdu,gagné,pas joué,perdu
VTANR5L16V978,gagné,perdu,gagné,perdu,gagné,perdu,perdu,pas joué,gagné,perdu,perdu
VTANR5L16V979,gagné,perdu,gagné,perdu,gagné,perdu,gagné,pas joué,gagné,perdu,perdu
VTANR5L16V98,gagné,perdu,gagné,perdu,gagné,pas joué,gagné,gagné,gagné,perdu,perdu
VTANR5L16V980,gagné,pas joué,gagné,pas joué,gagné,perdu,gagné,perdu,gagné,pas joué,pas joué
VTANR5L16V981,gagné,perdu,gagné,perdu,perdu,perdu,perdu,pas joué,gagné,perdu,perdu
VTANR5L16V982,gagné,perdu,gagné,perdu,perdu,perdu,perdu,perdu,gagné,perdu,perdu
VTANR5L16V983,gagné,perdu,gagné,perdu,perdu,perdu,perdu,perdu,gagné,perdu,perdu
VTANR5L16V984,gagné,gagné,gagné,gagné,perdu,perdu,perdu,perdu,gagné,gagné,gagné
VTANR5L16V985,gagné,gagné,gagné,pas joué,pas joué,gagné,perdu,perdu,gagné,gagné,gagné
VTANR5L16V986,gagné,perdu,gagné,perdu,gagné,perdu,perdu,pas joué,gagné,perdu,perdu
VTANR5L16V987,gagné,perdu,gagné,perdu,gagné,perdu,perdu,perdu,gagné,perdu,perdu
VTANR5L16V988,gagné,pas joué,gagné,perdu,gagné,gagné,gagné,gagné,gagné,gagné,perdu
VTANR5L16V989,gagné,perdu,gagné,perdu,gagné,pas joué,gagné,perdu,gagné,perdu,perdu
VTANR5L16V99,gagné,perdu,gagné,perdu,gagné,perdu,gagné,perdu,gagné,perdu,perdu
VTANR5L16V990,gagné,perdu,gagné,perdu,gagné,perdu,pas joué,perdu,gagné,perdu,perdu
VTANR5L16V991,gagné,perdu,gagné,perdu,gagné,gagné,gagné,pas joué,gagné,perdu,perdu
VTANR5L16V992,gagné,perdu,gagné,perdu,gagné,perdu,perdu,pas joué,gagné,perdu,perdu
VTANR5L16V993,gagné,perdu,gagné,perdu,gagné,perdu,perdu,pas joué,gagné,perdu,perdu
VTANR5L16V994,gagné,perdu,gagné,perdu,gagné,perdu,perdu,pas joué,gagné,perdu,perdu
VTANR5L16V995,gagné,perdu,gagné,perdu,gagné,perdu,pas joué,pas joué,gagné,perdu,perdu
VTANR5L16V996,gagné,perdu,gagné,perdu,gagné,perdu,perdu,perdu,gagné,perdu,perdu
VTANR5L16V997,gagné,perdu,gagné,perdu,gagné,perdu,perdu,perdu,gagné,perdu,perdu
VTANR5L16V998,gagné,perdu,gagné,perdu,gagné,perdu,pas joué,perdu,gagné,perdu,perdu
VTANR5L16V999,gagné,perdu,gagné,perdu,gagné,perdu,gagné,gagné,gagné,perdu,perdu
