@xmlns,@xmlns:xsi,@xsi:type,uid,codeType,libelle,libelleEdition,libelleAbrege,libelleAbrev,viMoDe,organeParent,chambre,regime,legislature,regimeJuridique,siteInternet,nombreReunionsAnnuelles,secretariat,listePays,positionPolitique,preseance,couleurAssociee
http://schemas.assemblee-nationale.fr/referentiel,http://www.w3.org/2001/XMLSchema-instance,OrganeExterne_Type,PO801885,MINISTERE,"Ministère auprès du ministre du travail, du plein emploi et de l’insertion et du ministre de l’éducation nationale et de la jeunesse, chargé de l’enseignement et de la formation professionnels","auprès du ministre du travail, du plein emploi et de l’insertion et du ministre de l’éducation nationale et de la jeunesse, chargé de l’enseignement et de la formation professionnels",Enseignement et formation professionnels,ENPRO,"{'dateDebut': '2022-07-05', 'dateAgrement': None, 'dateFin': None}",PO791579,,,,,,,,,,,
http://schemas.assemblee-nationale.fr/referentiel,http://www.w3.org/2001/XMLSchema-instance,OrganeParlementaire_Type,PO810741,GE,"Sapeurs-pompiers, sécurité civile et gestion des crises","SAPEURS-POMPIERS, SÉCURITÉ CIVILE ET GESTION DES CRISES","SAPEURS-POMPIERS, SÉCURITÉ CIVILE ET GESTION DES CRISES",SAPEURS,"{'dateDebut': None, 'dateAgrement': '2022-12-07', 'dateFin': None}",,,5ème République,16,,,,"{'secretaire01': 'M. Benoît Rinnert', 'secretaire02': None}",,,,
http://schemas.assemblee-nationale.fr/referentiel,http://www.w3.org/2001/XMLSchema-instance,OrganeExterne_Type,PO806442,PARPOL,Rézistan's Égalité 974,,Rézistan's Égalité 974,REZRE,"{'dateDebut': None, 'dateAgrement': None, 'dateFin': None}",,,,,,,,,,,,
http://schemas.assemblee-nationale.fr/referentiel,http://www.w3.org/2001/XMLSchema-instance,OrganeParlementaireInternational,PO808236,GA,France-Côte d'Ivoire,de France-Côte d'Ivoire,Côte d'Ivoire,CI,"{'dateDebut': None, 'dateAgrement': '2022-06-22', 'dateFin': None}",,,5ème République,16,,,,"{'secretaire01': 'M. Philippe Sagot', 'secretaire02': None}",{'paysRef': 'GOP756515'},,,
http://schemas.assemblee-nationale.fr/referentiel,http://www.w3.org/2001/XMLSchema-instance,OrganeParlementaire_Type,PO807406,GE,Cheval,CHEVAL,CHEVAL,CHEVAL,"{'dateDebut': None, 'dateAgrement': '2022-12-07', 'dateFin': None}",,,5ème République,16,,,,"{'secretaire01': 'M. Matthieu de Vallavieille', 'secretaire02': None}",,,,
http://schemas.assemblee-nationale.fr/referentiel,http://www.w3.org/2001/XMLSchema-instance,OrganeParlementaire_Type,PO810678,GE,Logement et écoconstruction,LOGEMENT ET ÉCOCONSTRUCTION,LOGEMENT ET ÉCOCONSTRUCTION,LOGEMENT,"{'dateDebut': None, 'dateAgrement': '2022-12-07', 'dateFin': None}",,,5ème République,16,,,,"{'secretaire01': 'M. Guillaume Caulet', 'secretaire02': None}",,,,
http://schemas.assemblee-nationale.fr/referentiel,http://www.w3.org/2001/XMLSchema-instance,OrganeParlementaire_Type,PO810663,GE,Exploitations agricoles et structuration des filières,EXPLOITATIONS AGRICOLES ET STRUCTURATION DES FILIÈRES,EXPLOITATIONS AGRICOLES ET STRUCTURATION DES FILIÈRES,EXPLOITAGR,"{'dateDebut': None, 'dateAgrement': '2022-12-07', 'dateFin': None}",,,5ème République,16,,,,"{'secretaire01': 'M. Julien Bidoux Pérez', 'secretaire02': None}",,,,
http://schemas.assemblee-nationale.fr/referentiel,http://www.w3.org/2001/XMLSchema-instance,OrganeParlementaire_Type,PO810637,GE,Démocratie participative et e-démocratie,DÉMOCRATIE PARTICIPATIVE ET E-DÉMOCRATIE,DÉMOCRATIE PARTICIPATIVE ET E-DÉMOCRATIE,DEMOPARTIC,"{'dateDebut': None, 'dateAgrement': '2022-12-07', 'dateFin': None}",,,5ème République,16,,,,"{'secretaire01': 'M. Adrien Gros', 'secretaire02': None}",,,,
http://schemas.assemblee-nationale.fr/referentiel,http://www.w3.org/2001/XMLSchema-instance,OrganeParlementaireInternational,PO807216,GA,France-Laos,de France-Laos,Laos,LAO,"{'dateDebut': None, 'dateAgrement': '2022-06-22', 'dateFin': None}",,,5ème République,16,,,,"{'secretaire01': 'Mme Karine Depincé', 'secretaire02': None}",{'paysRef': 'GOP756472'},,,
http://schemas.assemblee-nationale.fr/referentiel,http://www.w3.org/2001/XMLSchema-instance,OrganeParlementaire_Type,PO805653,MISINFO,Mission d'évaluation de la loi n° 2019-1147 du 8 novembre 2019 relative à l'énergie et au climat,de la mission d'évaluation de la loi n° 2019-1147 du 8 novembre 2019 relative à l'énergie et au climat,évaluation loi énergie climat,ENER CLIMA,"{'dateDebut': '2022-10-26', 'dateAgrement': None, 'dateFin': '2023-05-09'}",PO419610,,5ème République,16,,,,"{'secretaire01': None, 'secretaire02': None}",,,,
http://schemas.assemblee-nationale.fr/referentiel,http://www.w3.org/2001/XMLSchema-instance,OrganeParlementaireInternational,PO808136,GA,France-Tchèque (République),de France-Tchèque (République),Tchèque (République),TCHE,"{'dateDebut': None, 'dateAgrement': '2022-06-22', 'dateFin': None}",,,5ème République,16,,,,"{'secretaire01': 'M. Charles Boriaud', 'secretaire02': None}",{'paysRef': 'GOP756407'},,,
http://schemas.assemblee-nationale.fr/referentiel,http://www.w3.org/2001/XMLSchema-instance,OrganeParlementaireInternational,PO807061,GA,France-Burundi Rwanda,,Burundi Rwanda,BURW,"{'dateDebut': None, 'dateAgrement': '2022-06-22', 'dateFin': None}",,,5ème République,16,,,,"{'secretaire01': 'M. Charles Boriaud', 'secretaire02': None}",,,,
http://schemas.assemblee-nationale.fr/referentiel,http://www.w3.org/2001/XMLSchema-instance,OrganeParlementaireInternational,PO807186,GA,France-Bénin,de France-Bénin,Bénin,BEN,"{'dateDebut': None, 'dateAgrement': '2022-06-22', 'dateFin': None}",,,5ème République,16,,,,"{'secretaire01': 'Mme Valérie Checketts', 'secretaire02': None}",{'paysRef': 'GOP756516'},,,
http://schemas.assemblee-nationale.fr/referentiel,http://www.w3.org/2001/XMLSchema-instance,OrganeExterne_Type,PO801854,MINISTERE,Ministère de l’intérieur et des outre-mer,de l’intérieur et des outre-mer,Intérieur et outre-mer,IOM,"{'dateDebut': '2022-07-05', 'dateAgrement': None, 'dateFin': None}",PO791579,,,,,,,,,,,
