scrutin,Gauche démocrate et républicaine - NUPES,La France insoumise - Nouvelle Union Populaire écologique et sociale,Socialistes et apparentés (membre de l’intergroupe NUPES),Écologiste - NUPES,alignement,objet,type,date,motion_censure
VTANR5L16V73,contre,contre,abstention,contre,False,l'article 16 du projet de loi portant mesures d'urgence pour la protection du pouvoir d'achat (première lecture).,scrutin public ordinaire,2022-07-21,False
VTANR5L16V69,abstention,contre,abstention,contre,False,l'article 14 du projet de loi portant mesures d'urgence pour la protection du pouvoir d'achat (première lecture).,scrutin public ordinaire,2022-07-21,False
VTANR5L16V61,pour,pour,pour,pour,True,l'article 8 du projet de loi portant mesures d'urgence pour la protection du pouvoir d'achat (première lecture).,scrutin public ordinaire,2022-07-21,False
VTANR5L16V62,pour,abstention,pour,pour,False,l'article 9 du projet de loi portant mesures d'urgence pour la protection du pouvoir d'achat (première lecture).,scrutin public ordinaire,2022-07-21,False
VTANR5L16V70,pour,pour,abstention,pour,False,l'amendement de suppression n° 494 de Mme Garin et les amendements identiques suivants à l'article 15 du projet de loi portant mesures d'urgence pour la protection du pouvoir d'achat (première lecture).,scrutin public ordinaire,2022-07-21,False
VTANR5L16V74,contre,contre,contre,contre,True,l'article 18 du projet de loi portant mesures d'urgence pour la protection du pouvoir d'achat (première lecture).,scrutin public ordinaire,2022-07-21,False
VTANR5L16V59,contre,contre,abstention,contre,False,l'article 6 du projet de loi portant mesures d'urgence pour la protection du pouvoir d'achat (première lecture).,scrutin public ordinaire,2022-07-21,False
VTANR5L16V58,pour,pour,pour,pour,True,l'amendement n° 767 rectifié de M. de Courson à l'article 6 du projet de loi portant mesures d'urgence pour la protection du pouvoir d'achat (première lecture).,scrutin public ordinaire,2022-07-21,False
VTANR5L16V57,pour,pour,pour,pour,True,l'amendement n° 993 de M. de Courson à l'article 6 du projet de loi portant mesures d'urgence pour la protection du pouvoir d'achat (première lecture).,scrutin public ordinaire,2022-07-21,False
VTANR5L16V56,pour,pour,pour,pour,True,l'amendement n° 971 de M. Ratenon à l'article 6 du projet de loi portant mesures d'urgence pour la protection du pouvoir d'achat (première lecture).,scrutin public ordinaire,2022-07-21,False
VTANR5L16V55,pour,contre,contre,contre,False,l'amendement n° 339 de Mme Mathilde Paris à l'article 6 du projet de loi portant mesures d'urgence pour la protection du pouvoir d'achat (première lecture).,scrutin public ordinaire,2022-07-21,False
VTANR5L16V54,contre,contre,contre,contre,True,l'amendement n° 734 de M. Ménagé à l'article 6 du projet de loi portant mesures d'urgence pour la protection du pouvoir d'achat (première lecture).,scrutin public ordinaire,2022-07-21,False
VTANR5L16V60,abstention,pour,abstention,pour,False,l'article 7 du projet de loi portant mesures d'urgence pour la protection du pouvoir d'achat (première lecture).,scrutin public ordinaire,2022-07-21,False
VTANR5L16V53,pour,pour,pour,pour,True,l'amendement n° 878 de Mme Guetté à l'article 6 du projet de loi portant mesures d'urgence pour la protection du pouvoir d'achat (première lecture).,scrutin public ordinaire,2022-07-21,False
VTANR5L16V90,pour,pour,pour,pour,True,l'amendement n° 929 de M. Delaporte avant l'article premier du projet de loi de finances rectificative pour 2022 (première lecture).,scrutin public ordinaire,2022-07-22,False
VTANR5L16V85,contre,contre,contre,contre,True,l'amendement n° 636 de M. Bazin et les amendements identiques suivants avant l'article premier du projet de loi de finances rectificative pour 2022 (première lecture).,scrutin public ordinaire,2022-07-22,False
VTANR5L16V84,contre,contre,contre,contre,True,l'amendement n° 166 de la commission des finances et les amendements identiques suivants avant l'article premier du projet de loi de finances rectificative pour 2022 (première lecture).,scrutin public ordinaire,2022-07-22,False
VTANR5L16V88,pour,pour,pour,pour,True,l'amendement n° 575 de Mme Untermaier avant l'article premier du projet de loi de finances rectificative pour 2022 (première lecture).,scrutin public ordinaire,2022-07-22,False
VTANR5L16V87,pour,pour,pour,pour,True,l'amendement n° 16 de M. Cordier et les amendements identiques suivants avant l'article premier du projet de loi de finances rectificative pour 2022 (première lecture).,scrutin public ordinaire,2022-07-22,False
VTANR5L16V91,pour,abstention,contre,abstention,False,l'amendement n° 297 de Mme Louwagie et les amendements identiques suivants avant l'article premier du projet de loi de finances rectificative pour 2022 (première lecture).,scrutin public ordinaire,2022-07-22,False
