acteurRef,mandatRef,parDelegation,position,organe,date,scrutin,groupe_majorite,nom,prenom,civ,libelleAbrev
PA719138,PM796356,False,pour,PO800532,2023-01-24,VTANR5L16V884,contre,Castellani,Michel,M.,LIOT
PA721486,PM797517,False,pour,PO800532,2023-03-07,VTANR5L16V1130,pour,Naegelen,Christophe,M.,LIOT
PA795244,PM797379,False,pour,PO800532,2023-03-07,VTANR5L16V1130,pour,Lenormand,Stéphane,M.,LIOT
PA643143,PM797646,False,pour,PO800496,2023-03-13,VTANR5L16V1171,contre,Baptiste,Christian,M.,SOC
PA719608,PM796593,False,pour,PO793087,2023-03-13,VTANR5L16V1171,pour,Ménard,Emmanuelle,Mme,NI
PA721816,PM797571,False,pour,PO800508,2022-10-27,VTANR5L16V416,pour,Boucard,Ian,M.,LR
PA722308,PM797229,False,pour,PO800508,2022-10-27,VTANR5L16V416,pour,Serre,Nathalie,Mme,LR
PA719608,PM796593,False,pour,PO793087,2022-10-27,VTANR5L16V416,pour,Ménard,Emmanuelle,Mme,NI
PA605069,PM796179,True,pour,PO800532,2023-02-15,VTANR5L16V980,pour,Bricout,Jean-Louis,M.,LIOT
PA793210,PM796212,False,pour,PO800532,2023-02-15,VTANR5L16V980,pour,Panifous,Laurent,M.,LIOT
PA793796,PM796536,False,pour,PO800532,2023-02-15,VTANR5L16V980,pour,Taupiac,David,M.,LIOT
PA794626,PM797028,False,pour,PO800532,2023-02-15,VTANR5L16V980,pour,Saint-Huile,Benjamin,M.,LIOT
PA719608,PM796593,False,pour,PO793087,2022-11-29,VTANR5L16V644,pour,Ménard,Emmanuelle,Mme,NI
PA718850,PM796203,False,pour,PO800508,2023-03-20,VTANR5L16V1241,pour,Cordier,Pierre,M.,LR
PA720386,PM796908,False,pour,PO800508,2023-03-20,VTANR5L16V1241,pour,Di Filippo,Fabien,M.,LR
PA720630,PM797094,False,pour,PO800508,2023-03-20,VTANR5L16V1241,pour,Minot,Maxime,M.,LR
PA643143,PM797646,False,pour,PO800496,2023-03-20,VTANR5L16V1241,pour,Baptiste,Christian,M.,SOC
PA309643,PM797403,False,pour,PO793087,2023-03-20,VTANR5L16V1241,pour,Besse,Véronique,Mme,NI
PA1206,PM797637,False,pour,PO793087,2023-03-20,VTANR5L16V1241,pour,Dupont-Aignan,Nicolas,M.,NI
PA342240,PM796707,False,pour,PO800508,2022-11-08,VTANR5L16V539,contre,Bourgeaux,Jean-Luc,M.,LR
PA1874,PM796383,False,pour,PO800508,2022-12-13,VTANR5L16V766,pour,Le Fur,Marc,M.,LR
PA720644,PM797103,False,pour,PO800508,2022-12-13,VTANR5L16V766,pour,Nury,Jérôme,M.,LR
PA267429,PM796722,False,pour,PO800508,2022-12-13,VTANR5L16V766,pour,Cinieri,Dino,M.,LR
PA718784,PM796266,False,pour,PO800508,2022-12-13,VTANR5L16V766,pour,Pauget,Éric,M.,LR
PA643134,PM796758,False,pour,PO800508,2022-12-13,VTANR5L16V766,pour,Valentin,Isabelle,Mme,LR
PA720630,PM797094,False,pour,PO800508,2022-12-13,VTANR5L16V766,pour,Minot,Maxime,M.,LR
PA721474,PM797511,False,pour,PO800508,2022-12-13,VTANR5L16V766,pour,Viry,Stéphane,M.,LR
PA793094,PM796140,False,pour,PO800508,2022-12-13,VTANR5L16V766,pour,Ray,Nicolas,M.,LR
PA793322,PM796260,False,pour,PO800508,2022-12-13,VTANR5L16V766,pour,D'Intorni,Christelle,Mme,LR
PA793476,PM796344,False,pour,PO800508,2022-12-13,VTANR5L16V766,pour,Dubois,Francis,M.,LR
PA794038,PM796668,False,pour,PO800508,2022-12-13,VTANR5L16V766,pour,Neuder,Yannick,M.,LR
PA794058,PM796686,False,pour,PO800508,2022-12-13,VTANR5L16V766,pour,Gruet,Justine,Mme,LR
PA794178,PM796755,False,pour,PO800508,2022-12-13,VTANR5L16V766,pour,Taite,Jean-Pierre,M.,LR
PA722308,PM797229,False,pour,PO800508,2022-12-13,VTANR5L16V766,pour,Serre,Nathalie,Mme,LR
PA342240,PM796707,False,pour,PO800508,2022-12-13,VTANR5L16V766,pour,Bourgeaux,Jean-Luc,M.,LR
PA721442,PM797253,False,pour,PO800508,2022-12-13,VTANR5L16V766,pour,Petex-Levet,Christelle,Mme,LR
PA267766,PM796980,False,pour,PO800532,2022-12-13,VTANR5L16V766,pour,Bricout,Guy,M.,LIOT
PA1206,PM797637,False,pour,PO793087,2022-12-13,VTANR5L16V766,pour,Dupont-Aignan,Nicolas,M.,NI
PA267429,PM796722,False,pour,PO800508,2022-12-13,VTANR5L16V775,pour,Cinieri,Dino,M.,LR
PA721816,PM797571,False,pour,PO800508,2022-12-13,VTANR5L16V775,pour,Boucard,Ian,M.,LR
PA718784,PM796266,False,pour,PO800508,2022-12-13,VTANR5L16V775,pour,Pauget,Éric,M.,LR
PA719318,PM796470,False,pour,PO800508,2022-12-13,VTANR5L16V775,pour,Anthoine,Emmanuelle,Mme,LR
PA720630,PM797094,False,pour,PO800508,2022-12-13,VTANR5L16V775,pour,Minot,Maxime,M.,LR
PA722390,PM797214,False,pour,PO800508,2022-12-13,VTANR5L16V775,pour,Corneloup,Josiane,Mme,LR
PA793342,PM796269,False,pour,PO800508,2022-12-13,VTANR5L16V775,pour,Martin,Alexandra,Mme,LR
PA793508,PM796371,False,pour,PO800508,2022-12-13,VTANR5L16V775,pour,Brigand,Hubert,M.,LR
PA794178,PM796755,False,pour,PO800508,2022-12-13,VTANR5L16V775,pour,Taite,Jean-Pierre,M.,LR
PA794994,PM797232,False,pour,PO800508,2022-12-13,VTANR5L16V775,pour,Portier,Alexandre,M.,LR
PA266793,PM796317,False,pour,PO800508,2022-12-13,VTANR5L16V775,pour,Bony,Jean-Yves,M.,LR
PA342240,PM796707,False,pour,PO800508,2022-12-13,VTANR5L16V775,pour,Bourgeaux,Jean-Luc,M.,LR
PA783457,PM796992,False,pour,PO800508,2022-12-13,VTANR5L16V775,pour,Habert-Dassault,Victor,M.,LR
PA721442,PM797253,False,pour,PO800508,2022-12-13,VTANR5L16V775,pour,Petex-Levet,Christelle,Mme,LR
PA719608,PM796593,False,pour,PO793087,2022-12-13,VTANR5L16V775,pour,Ménard,Emmanuelle,Mme,NI
PA720100,PM796860,False,pour,PO800508,2023-02-13,VTANR5L16V959,abstention,Pradié,Aurélien,M.,LR
PA721046,PM797769,False,pour,PO800532,2023-02-13,VTANR5L16V959,pour,Bassire,Nathalie,Mme,LIOT
PA795244,PM797379,False,pour,PO800532,2023-02-13,VTANR5L16V959,pour,Lenormand,Stéphane,M.,LIOT
PA719608,PM796593,False,pour,PO793087,2023-02-13,VTANR5L16V959,pour,Ménard,Emmanuelle,Mme,NI
PA330008,PM796158,False,pour,PO800508,2023-05-16,VTANR5L16V1539,contre,Breton,Xavier,M.,LR
PA1630,PM797487,False,pour,PO800508,2023-03-02,VTANR5L16V1100,pour,Herbillon,Michel,M.,LR
PA721816,PM797571,False,pour,PO800508,2023-03-02,VTANR5L16V1100,pour,Boucard,Ian,M.,LR
PA720386,PM796908,False,pour,PO800508,2023-03-02,VTANR5L16V1100,pour,Di Filippo,Fabien,M.,LR
PA793094,PM796140,False,pour,PO800508,2023-03-02,VTANR5L16V1100,pour,Ray,Nicolas,M.,LR
PA719608,PM796593,False,pour,PO793087,2023-03-02,VTANR5L16V1100,pour,Ménard,Emmanuelle,Mme,NI
PA330008,PM796158,False,pour,PO800508,2023-03-06,VTANR5L16V1121,abstention,Breton,Xavier,M.,LR
PA719318,PM796470,False,pour,PO800508,2023-03-06,VTANR5L16V1121,abstention,Anthoine,Emmanuelle,Mme,LR
PA720386,PM796908,False,pour,PO800508,2023-03-06,VTANR5L16V1121,abstention,Di Filippo,Fabien,M.,LR
PA721486,PM797517,False,pour,PO800532,2023-03-06,VTANR5L16V1121,pour,Naegelen,Christophe,M.,LIOT
PA718838,PM796197,False,pour,PO800508,2022-12-12,VTANR5L16V754,pour,Brun,Fabrice,M.,LR
PA330909,PM796314,False,pour,PO800508,2022-12-12,VTANR5L16V754,pour,Descoeur,Vincent,M.,LR
PA266793,PM796317,False,pour,PO800508,2022-12-12,VTANR5L16V754,pour,Bony,Jean-Yves,M.,LR
PA721442,PM797253,False,pour,PO800508,2022-12-12,VTANR5L16V754,pour,Petex-Levet,Christelle,Mme,LR
PA335999,PM797655,False,pour,PO800526,2022-12-12,VTANR5L16V754,contre,Batho,Delphine,Mme,ECOLO
PA719608,PM796593,False,pour,PO793087,2022-12-12,VTANR5L16V754,pour,Ménard,Emmanuelle,Mme,NI
PA794702,PM797070,False,pour,PO800484,2023-05-25,VTANR5L16V1634,contre,Lingemann,Delphine,Mme,DEM
PA719608,PM796593,False,pour,PO793087,2022-10-27,VTANR5L16V406,pour,Ménard,Emmanuelle,Mme,NI
PA721828,PM802651,False,pour,PO800538,2022-10-14,VTANR5L16V299,contre,Berete,Fanta,Mme,RE
PA942,PM796836,False,pour,PO800532,2022-10-14,VTANR5L16V299,pour,de Courson,Charles,M.,LIOT
PA719608,PM796593,False,pour,PO793087,2022-10-14,VTANR5L16V299,pour,Ménard,Emmanuelle,Mme,NI
PA794206,PM796779,False,pour,PO800538,2022-07-20,VTANR5L16V46,contre,Marion,Christophe,M.,RE
PA795926,PM797757,False,pour,PO800538,2022-07-20,VTANR5L16V46,contre,Pellerin,Emmanuel,M.,RE
PA796010,PM797802,False,pour,PO800502,2022-07-20,VTANR5L16V46,contre,Maillot,Frédéric,M.,GDR-NUPES
PA719608,PM796593,False,pour,PO793087,2022-07-20,VTANR5L16V46,contre,Ménard,Emmanuelle,Mme,NI
PA330008,PM796158,False,pour,PO800508,2023-03-22,VTANR5L16V1267,pour,Breton,Xavier,M.,LR
PA607619,PM796890,False,pour,PO800532,2023-03-22,VTANR5L16V1267,pour,Molac,Paul,M.,LIOT
PA719146,PM796359,False,pour,PO800532,2023-03-22,VTANR5L16V1267,pour,Acquaviva,Jean-Félix,M.,LIOT
PA267901,PM797841,False,pour,PO800508,2022-10-28,VTANR5L16V473,pour,Kamardine,Mansour,M.,LR
PA719632,PM796572,False,pour,PO800538,2023-05-04,VTANR5L16V1463,contre,Panonacle,Sophie,Mme,RE
PA719608,PM796593,False,pour,PO793087,2023-05-04,VTANR5L16V1463,pour,Ménard,Emmanuelle,Mme,NI
PA721632,PM802647,False,pour,PO800538,2023-05-16,VTANR5L16V1537,contre,Lemoine,Patricia,Mme,RE
