acteurRef,axe 1,axe 2,organe,nom,prenom,civ,libelleAbrev,couleurAssociee
PA794442,-11.335835192228096,16.736483269505555,PO800520,Robert-Dehault,Laurence,Mme,RN,#35495E
PA794450,16.617406522473622,-0.8674539322781091,PO800538,Lacresse,Emmanuel,M.,RE,#61468F
PA794458,-18.732046855308706,-8.840177384916693,PO800490,Etienne,Martine,Mme,LFI-NUPES,#E42313
PA794470,18.714056452770937,-3.4625782651433745,PO800514,Gérard,Félicie,Mme,HOR,#32B3CA
PA794478,-20.063328960521844,-8.299323374652278,PO800490,Guiraud,David,M.,LFI-NUPES,#E42313
PA794486,16.637978931744808,-1.1312155782573892,PO800538,Spillebout,Violette,Mme,RE,#61468F
PA794494,-7.275966803467167,-3.106358574854398,PO800496,Vicot,Roger,M.,SOC,#DF84B5
PA794502,-9.900127536910102,14.190312352844238,PO800520,Taverne,Michaël,M.,RN,#35495E
PA794510,16.595655660142576,-5.093001028041281,PO800538,Decodts,Christine,Mme,RE,#61468F
PA794522,-10.895165307006124,13.848451179005707,PO800520,Berteloot,Pierrick,M.,RN,#35495E
PA794530,-12.227621843889104,14.996567882067987,PO800520,Marchio,Matthieu,M.,RN,#35495E
PA794538,-11.0903328778852,14.533342034421757,PO800520,François,Thibaut,M.,RN,#35495E
PA794562,-12.248240341631979,15.093065693840584,PO800520,Ballard,Philippe,M.,RN,#35495E
PA794570,-12.46988151367755,12.238260883326909,PO800520,Sabatou,Alexandre,M.,RN,#35495E
PA794582,-11.660816814477522,14.28615990597833,PO800520,Pfeffer,Kévin,M.,RN,#35495E
PA794590,-13.131483183188468,19.11569282910405,PO800520,Loubet,Alexandre,M.,RN,#35495E
PA794598,-10.280843511070366,16.915932710053372,PO800520,Jacobelli,Laurent,M.,RN,#35495E
PA794626,-7.118127034002134,-2.720674379509523,PO800532,Saint-Huile,Benjamin,M.,LIOT,#F8D434
PA794638,-13.877884088937545,22.55179972805445,PO800520,Catteau,Victor,M.,RN,#35495E
PA794650,-10.887147661250431,-3.8314632031160833,PO800502,Tellier,Jean-Marc,M.,GDR-NUPES,#991414
PA794658,17.731995099850604,-1.1643411590916153,PO800538,Fait,Philippe,M.,RE,#61468F
PA794670,-12.267726465810583,13.007135207918141,PO800520,Parmentier,Caroline,Mme,RN,#35495E
PA794678,-12.212588330959942,16.569282059440607,PO800520,Frappé,Thierry,M.,RN,#35495E
PA794686,-19.5601666649622,-7.5195614242514655,PO800490,Maximi,Marianne,Mme,LFI-NUPES,#E42313
PA794702,16.6961784064892,-1.249805466876265,PO800484,Lingemann,Delphine,Mme,DEM,#CE5215
PA794718,-7.9893966715887395,9.055155299000917,PO800520,Engrand,Christine,Mme,RN,#35495E
PA794734,-9.111107263964957,7.401472985675432,PO800520,Guiniot,Michel,M.,RN,#35495E
PA794762,-12.427400537479784,15.404773792548554,PO800520,Dogor-Such,Sandrine,Mme,RN,#35495E
PA794770,-8.916645932776376,11.217314032033103,PO800520,Martinez,Michèle,Mme,RN,#35495E
PA794778,-19.230924382592566,-13.250430642133175,PO800526,Regol,Sandra,Mme,ECOLO,#77AA79
PA794786,-24.011069698789303,-13.553320837358804,PO800490,Fernandes,Emmanuel,M.,LFI-NUPES,#E42313
PA794798,15.399657478586487,-1.4313310810293025,PO800538,Buffet,Françoise,Mme,RE,#61468F
PA794802,19.26247853678921,-3.514932100217632,PO800538,Sitzenstuhl,Charles,M.,RE,#61468F
PA794810,18.209063972380154,-1.0752388461085105,PO800484,Morel,Louise,Mme,DEM,#CE5215
PA794818,15.470298034127183,-1.1106037921648297,PO800514,Kochert,Stéphanie,Mme,HOR,#32B3CA
PA794830,8.135547683324498,-2.2128055346130626,PO800484,Ott,Hubert,M.,DEM,#CE5215
PA794838,12.443708061583507,-1.0225289149878665,PO800514,Lemaire,Didier,M.,HOR,#32B3CA
PA794846,12.002019841798578,-0.8362466023451284,PO800538,Goetschy-Bolognese,Charlotte,Mme,RE,#61468F
PA794854,-14.74783224438005,-8.113273048429676,PO800496,Echaniz,Inaki,M.,SOC,#DF84B5
PA794870,-21.720038852942757,-10.657971430176316,PO800490,Ferrer,Sylvie,Mme,LFI-NUPES,#E42313
PA794878,18.248442107095652,-2.8175319519580384,PO800538,Mournet,Benoit,M.,RE,#61468F
PA794886,-8.874943201132877,9.093833715149149,PO800520,Blanc,Sophie,Mme,RN,#35495E
PA794894,-11.949487466903415,15.801390870768529,PO800520,Sabatini,Anaïs,Mme,RN,#35495E
PA794906,-18.009559481608882,-8.663891778982704,PO800490,Amard,Gabriel,M.,LFI-NUPES,#E42313
PA794914,2.852958524179568,0.8343177186067525,PO800508,Vincendet,Alexandre,M.,LR,#4565AD
PA794930,9.583605258946193,-1.7470779306449034,PO800538,Tanzilli,Sarah,Mme,RE,#61468F
PA794938,-19.025811041488836,-8.01682071484375,PO800490,Boumertit,Idir,M.,LFI-NUPES,#E42313
PA794946,-8.25896539056781,10.182710681243528,PO800520,Villedieu,Antoine,M.,RN,#35495E
PA794954,-12.09329533503373,20.14701441751702,PO800520,Salmon,Emeric,M.,RN,#35495E
PA794974,17.916844128310377,-3.2146662859877253,PO800538,Margueritte,Louis,M.,RE,#61468F
PA794982,17.06562418279988,-1.4387301161167456,PO800538,Delpech,Julie,Mme,RE,#61468F
PA794994,2.447970563840194,4.2995258564157055,PO800508,Portier,Alexandre,M.,LR,#4565AD
PA795010,-17.312802398369328,-10.799112690576456,PO800526,Garin,Marie-Charlotte,Mme,ECOLO,#77AA79
PA795026,14.203771798284537,-1.3688765418545426,PO800514,Violland,Anne-Cécile,Mme,HOR,#32B3CA
PA795046,19.109826966482654,-3.8808288738009886,PO800538,Yadan,Caroline,Mme,RE,#61468F
PA795050,14.896067802453098,-1.883002465397595,PO800538,Panosyan-Bouvet,Astrid,Mme,RE,#61468F
PA795058,-10.800422019136494,-6.838452462170328,PO800526,Bayou,Julien,M.,ECOLO,#77AA79
PA795068,19.165960434542512,-4.020099797608614,PO800538,Chassaniol,Clara,Mme,RE,#61468F
PA795076,-16.65874003963228,-8.027035880315518,PO800526,Rousseau,Sandrine,Mme,ECOLO,#77AA79
PA795084,-11.913600504177738,-6.082111214449473,PO800490,Arenas,Rodrigo,M.,LFI-NUPES,#E42313
PA795100,20.285176398799102,-2.7104696039077867,PO800484,Martineau,Éric,M.,DEM,#CE5215
PA795108,-18.953710410144247,-8.620220979441903,PO800490,Leboucher,Élise,Mme,LFI-NUPES,#E42313
PA795120,18.387589625856982,-1.6449298379711699,PO800484,Ferrari,Marina,Mme,DEM,#CE5215
PA795136,-23.365701735148324,-11.428608570956321,PO800490,Coulomme,Jean-François,M.,LFI-NUPES,#E42313
PA795144,14.130517894853702,-1.780976461806345,PO800538,Armand,Antoine,M.,RE,#61468F
PA795156,-9.52285471718528,-5.517531049542358,PO800496,Keloua Hachi,Fatiha,Mme,SOC,#DF84B5
PA795164,-19.487203814562154,-10.422751042316973,PO800490,Trouvé,Aurélie,Mme,LFI-NUPES,#E42313
PA795176,14.026536928811126,-0.9678265230572471,PO800538,Metzdorf,Nicolas,M.,RE,#61468F
PA795184,-8.966404130057255,-3.591641327563578,PO800502,Le Gayic,Tematai,M.,GDR-NUPES,#991414
PA795192,-7.737346624008324,-2.0196111023669365,PO800502,Chailloux,Steve,M.,GDR-NUPES,#991414
PA795200,-20.557146192149297,-9.13849269756618,PO800490,Dufour,Alma,Mme,LFI-NUPES,#E42313
PA795216,13.196740963581478,-0.8240712337770572,PO800538,Lovisolo,Jean-François,M.,RE,#61468F
PA795228,-19.68668224360863,-9.186562224969428,PO800490,Abomangoli,Nadège,Mme,LFI-NUPES,#E42313
PA795244,-3.6003035424154355,3.129396174947223,PO800532,Lenormand,Stéphane,M.,LIOT,#F8D434
PA795258,17.809280263105176,-3.319314795015461,PO800484,Gumbs,Frantz,M.,DEM,#CE5215
PA795266,7.145475185591103,-4.716112761440203,PO800514,Carel,Agnès,Mme,HOR,#32B3CA
PA795270,16.804855373720322,-1.0603984862515838,PO800514,Poussier-Winsback,Marie-Agnès,Mme,HOR,#32B3CA
PA795278,16.623532918215894,-0.9715715362519133,PO800514,Bellamy,Béatrice,Mme,HOR,#32B3CA
PA795298,-20.18201003356102,-7.970209378176418,PO800490,Legavre,Jérôme,M.,LFI-NUPES,#E42313
PA795310,-18.9103601298965,-8.796492428126614,PO800490,Guetté,Clémence,Mme,LFI-NUPES,#E42313
